time;id0C3_10_SAS.id0C3_agSteer025Resl
34.3;48.75
44.4;48.75
54.4;49
64.4;49
74.5;48.75
84.5;48.75
94.6;49
104.7;48.75
114.7;48.75
124.7;49
134.8;49
144.8;49
154.9;49
165;49
175;49
185;49
195.1;49
205.1;48.75
215.2;48.75
225.2;49
235.3;48.75
245.4;49
255.4;48.75
265.4;49
275.5;49
285.5;48.75
295.6;49
305.7;48.75
315.7;49
325.8;48.75
335.8;48.75
345.9;48.75
355.9;48.75
365.9;48.75
376.1;48.75
386.1;49
396.1;49
406.2;48.75
416.2;49
426.2;49
436.4;48.75
446.4;48.75
456.4;49
466.5;49
476.5;49
486.6;48.75
496.6;48.75
506.7;48.75
516.8;49
526.8;48.75
536.8;49
546.9;49
556.9;49
567;49
577.1;49
587.1;48.75
597.1;48.75
607.2;48.75
617.2;48.75
627.3;48.75
637.4;49
647.4;49
657.5;49
667.5;49
677.5;49
687.6;48.75
697.7;49
707.7;48.75
717.7;49
727.8;48.75
737.8;48.75
747.9;48.75
757.9;49
768.1;49
778.1;49
788.1;49
798.2;49
808.4;48.75
818.3;49
828.3;49
838.4;48.75
848.4;48.75
858.5;49
868.5;49
878.6;48.75
888.6;49
898.7;48.75
908.7;48.75
918.8;48.75
928.9;49
938.9;48.75
948.9;49
959;48.75
969;49
979.1;48.75
989.1;48.75
999.2;49
1009.2;48.75
1019.3;48.75
1029.3;49
1039.4;49
1049.5;48.75
1059.5;49
1069.5;49
1079.6;48.75
1089.6;48.75
1099.7;49
1109.7;49
1119.8;49
1129.9;48.75
1139.9;49
1149.9;48.75
1160.1;48.75
1170;48.75
1180.1;49
1190.2;49
1200.2;49
1210.3;49
1220.3;48.75
1230.3;49
1240.5;49
1250.5;49
1260.5;48.75
1270.6;49
1280.6;49
1290.6;48.75
1300.8;48.75
1310.8;49
1320.8;48.75
1330.9;49
1340.9;48.75
1351;49
1361.1;49
1371.1;48.75
1381.1;49
1391.2;49
1401.2;49
1411.3;49
1421.4;49
1431.4;49
1441.4;49
1451.5;49
1461.6;49
1471.6;49
1481.6;49
1491.7;49
1501.8;48.75
1511.8;49
1521.8;48.75
1531.9;48.75
1541.9;48.75
1552;49
1562;48.75
1572.1;48.75
1582.2;49
1592.2;49
1602.2;48.75
1612.4;49
1622.4;48.75
1632.4;49
1642.5;48.75
1652.5;48.75
1662.5;48.75
1672.7;48.75
1682.7;49
1692.7;49
1702.8;48.75
1712.8;48.75
1722.8;49
1733;48.75
1743;48.75
1753;49
1763.1;49
1773.1;48.75
1783.2;48.75
1793.3;49
1803.3;48.75
1813.3;49
1823.4;49
1833.5;49
1843.5;48.75
1853.5;49
1863.6;48.75
1873.7;49
1883.7;48.75
1893.7;49
1903.8;48.75
1913.8;49
1923.9;48.75
1934;49
1944;48.75
1954;48.75
1964.1;48.75
1974.1;49
1984.2;48.75
1994.3;49
2004.3;48.75
2014.3;48.75
2024.5;48.75
2034.4;49
2044.5;49
2054.6;48.75
2064.6;49
2074.6;49
2084.8;48.75
2094.8;48.75
2104.8;48.75
2114.9;48.75
2124.9;49
2134.9;48.75
2145.1;49
2155.1;48.75
2165.1;48.75
2175.2;48.75
2185.2;49
2195.2;48.75
2205.4;49
2215.4;48.75
2225.4;49
2235.5;48.75
2245.5;49
2255.6;49
2265.7;49
2275.7;49
2285.7;48.75
2295.8;49
2305.8;49
2315.9;49
2325.9;49
2336;48.75
2346.1;49
2356.1;49
2366.1;48.75
2376.2;49
2386.3;48.75
2396.3;49
2406.3;49
2416.4;49
2426.7;48.75
2436.5;48.75
2446.6;48.75
2456.6;49
2466.6;49
2476.7;48.75
2486.7;48.75
2496.8;48.75
2506.8;48.75
2516.9;49
2527;48.75
2537;49
2547;48.75
2557.2;49
2567.2;48.75
2577.2;48.75
2587.3;48.75
2597.3;48.75
2607.3;48.75
2617.5;49
2627.5;48.75
2637.5;49
2647.6;49
2657.6;49
2667.7;48.75
2677.8;48.75
2687.8;49
2697.8;48.75
2707.9;48.75
2718;48.75
2728;48.75
2738.1;49
2748.1;48.75
2758.1;48.75
2768.2;48.75
2778.3;48.75
2788.3;48.75
2798.4;48.75
2808.4;48.75
2818.4;49
2828.5;49
2838.5;49
2848.6;49
2858.7;48.75
2868.7;48.75
2878.7;49
2888.8;48.75
2898.8;49
2908.9;49
2919;48.75
2929;48.75
2939;48.75
2949.2;49
2959.1;48.75
2969.2;48.75
2979.3;49
2989.3;48.75
2999.3;49
3009.5;48.75
3019.5;49
3029.5;48.75
3039.6;49
3049.6;48.75
3059.7;49
3069.7;49
3079.7;48.75
3089.9;48.75
3099.9;49
3109.9;49
3120;49
3130;48.75
3140.1;48.75
3150.2;48.75
3160.2;49
3170.2;49
3180.3;48.75
3190.3;49
3200.4;49
3210.4;49
3220.5;49
3230.5;48.75
3240.6;49
3250.6;48.75
3260.7;48.75
3270.7;48.75
3280.8;49
3290.8;48.75
3300.9;48.75
3311;49
3321;48.75
3331.1;49
3341.1;48.75
3351.1;49
3361.2;49
3371.2;49
3381.3;48.75
3391.3;48.75
3401.4;48.75
3411.4;48.75
3421.6;48.75
3431.6;49
3441.6;48.75
3451.7;49
3461.7;49
3471.7;49
3481.9;48.75
3491.9;48.75
3501.9;48.75
3512;49
3522;48.75
3532.1;49
3542.2;49
3552.2;48.75
3562.2;49
3572.3;48.75
3582.3;49
3592.4;48.75
3602.5;49
3612.5;48.75
3622.5;49
3632.6;48.75
3642.7;48.75
3652.7;49
3662.8;48.75
3672.8;48.75
3682.8;48.75
3692.9;48.75
3702.9;49
3713;48.75
3723.1;48.75
3733.1;49
3743.1;48.75
3753.2;49
3763.3;48.75
3773.3;49
3783.4;48.75
3793.4;49
3803.4;48.75
3813.5;48.75
3823.5;48.75
3833.6;49
3843.7;48.75
3853.7;49
3863.7;48.75
3873.9;48.75
3883.9;49
3893.9;49
3904;49
3914;48.75
3924;48.75
3934.2;49
3944.2;48.75
3954.2;48.75
3964.3;48.75
3974.3;48.75
3984.4;48.75
3994.4;48.75
4004.5;49
4014.5;49
4024.6;48.75
4034.7;49
4044.7;49
4054.7;49
4064.8;48.75
4074.8;49
4084.9;49
4094.9;49
4105;48.75
4115.1;49
4125.1;49
4135.1;49
4145.2;49
4155.3;49
4165.3;49
4175.4;48.75
4185.4;49
4195.4;48.75
4205.5;48.75
4215.5;49
4225.6;49
4235.6;48.75
4245.7;49
4255.8;49
4265.8;49
4275.8;48.75
4286;49
4296;49
4306;49
4316.1;49
4326.1;49
4336.1;49.25
4346.3;49.25
